导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Michael Rymer,Lena Olin,Aaliyah,Queen of the Damned?,Bruce Spence,fatal attraction|interspecies romance|queen|supernatural power|vampire,R,Drama,,,,
John Sayles,Clifton James,Matthew McConaughey,Lone Star?,Miriam Colon,father son relationship|interracial relationship|neo western|sheriff|texas,R,Drama,,,,
Sam Taylor-Johnson,Luke Grimes,Jennifer Ehle,Fifty Shades of Grey?,Callum Rennie,female frontal nudity|female nudity|perversion|sex scene|spanking,R,Drama,,,,
Pawel Pawlikowski,Natalie Press,Paddy Considine,My Summer of Love?,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,R,Drama,,,,
Greg Harrison,Anne Archer,Amir Talai,November?,Nora Dunn,female protagonist|murder|photographer|robbery|shot to death,R,Drama,,,,
Adam Goldberg,Marisa Coughlan,Judy Greer,I Love Your Work?,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,R,Drama,,,,
Sofia Coppola,Bill Murray,Scarlett Johansson,Lost in Translation?,Catherine Lambert,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,R,Drama,,,,
Shyam Madiraju,Ethan Peck,Jessica Lowndes,Eden?,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,R,Drama,,,,
David Gordon Green,Connor Paolo,Michael Angarano,Snow Angels?,Tom Noonan,flashback|football game|school|small town|snow,R,Drama,,,,
Paul Greengrass,David Alan Basche,Christian Clemenson,United 93?,Susan Blommaert,flight|passenger|plane|september 11 2001|terrorist,R,Drama,,,,
Rodrigo Cortés,Toby Jones,Robert De Niro,Red Lights?,Craig Roberts,fraud|physicist|psychic|skeptic|tailing,R,Drama,,,,
Gus Van Sant,Matt Damon,Robin Williams,Good Will Hunting?,Minnie Driver,friend|genius|janitor|loss of wife|professor,R,Drama,,,,
Richard Linklater,Ariane Labed,Seamus Davey-Fitzpatrick,Before Midnight?,Athina Rachel Tsangari,friend|greece|greek|hotel room|twin,R,Drama,,,,
Gus Van Sant,Udo Kier,Keanu Reeves,My Own Private Idaho?,Flea,friend|hustler|italy|narcolepsy|traveling,R,Drama,,,,
Billy Bob Thornton,Dwight Yoakam,Robert Duvall,Sling Blade?,J.T. Walsh,friend|mental institution|murder|repair shop|small town,R,Drama,,,,
Kimberly Peirce,Channing Tatum,Joseph Gordon-Levitt,Stop-Loss?,Abbie Cornish,friendship|honor|iraq war|soldier|texas,R,Drama,,,,
Clint Eastwood,Dreama Walker,Clint Eastwood,Gran Torino?,Ahney Her,gang|gang rape|hmong|teenager|widower,R,Drama,,,,
Marc Levin,Saul Williams,Sonja Sohn,Slam?,Bonz Malone,gang|independent film|prison|racial slur|urban setting,R,Drama,,,,
Ang Lee,Heath Ledger,Jake Gyllenhaal,Brokeback Mountain?,Anne Hathaway,gay relationship|homosexuality|mountain|ranch|rodeo,R,Drama,,,,
Michael Winterbottom,Om Puri,Samantha Morton,Code 46?,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,R,Drama,,,,
Andrew Douglas,Chlo? Grace Moretz,Jimmy Bennett,The Amityville Horror?,Ryan Reynolds,ghost|haunted house|murder|nightmare|priest,R,Drama,,,,
Conor McPherson,Iben Hjejle,Aidan Quinn,The Eclipse?,Jim Norton,ghost|irish|kissing|novelist|widower,R,Drama,,,,
Joel Anderson,Rosie Traynor,Talia Zucker,Lake Mungo?,Martin Sharpe,ghost|lake|parapsychologist|psychic|secret,R,Drama,,,,
Gia Coppola,Nat Wolff,James Franco,Palo Alto?,Olivia Crocicchia,girls' soccer|high school|high school student|soccer coach|teenager,R,Drama,,,,
Michael Winterbottom,Sarah Polley,Milla Jovovich,The Claim?,Shirley Henderson,gold|gold mine|miner|railroad|surveyor,R,Drama,,,,
George Clooney,Philip Seymour Hoffman,Ryan Gosling,The Ides of March?,Jennifer Ehle,governor|intern|manager|ohio|politics,R,Drama,,,,
Marc Forster,Alan Ruck,Radha Mitchell,Everything Put Together?,Megan Mullally,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,R,Drama,,,,
John Maybury,Jason Lewis,Jennifer Jason Leigh,The Jacket?,Angel Coulby,gulf war veteran|morgue|shot in the head|vermont|veteran,R,Drama,,,,
David Cronenberg,John Neville,Miranda Richardson,Spider?,Lynn Redgrave,halfway house|key|reality|schizophrenia|spider,R,Drama,,,,
Michael Mayer,Matt Frewer,Robin Wright,A Home at the End of the World?,Sissy Spacek,hand job|hugging|long hair|new york city|two men one woman,R,Drama,,,,
Darren Aronofsky,John D'Leo,Mark Margolis,The Wrestler?,Ajay Naidu,heart attack|stripper|supermarket|wrestler|wrestling,R,Drama,,,,
James Ivory,Denholm Elliott,Rupert Graves,Maurice?,Simon Callow,homosexuality|love|male full frontal nudity|male rear nudity|one word title,R,Drama,,,,
Martin Koolhoven,Tygo Gernandt,Yorick van Wageningen,Winter in Wartime?,Martijn Lakemeier,horse|nazi|occupation|resistance movement|uncle nephew relationship,R,Drama,,,,
Alison Maclean,Samantha Morton,Billy Crudup,Jesus' Son?,Mark Webber,hospital|love|mennonite|shower|song,R,Drama,,,,
Jon Shear,Josh Hamilton,Dan Futterman,Urbania?,Matt Keeslar,hot dog bun|needle|new york|rat|tourist,R,Drama,,,,
Martin Scorsese,Bill Cobbs,Tom Cruise,The Color of Money?,Mary Elizabeth Mastrantonio,hustler|losing|pool|pool player|tournament,R,Drama,,,,
Ang Lee,Kate Burton,Joan Allen,The Ice Storm?,Henry Czerny,ice|ice storm|storm|thanksgiving|virgin,R,Drama,,,,
James Gray,Dagmara Dominczyk,Jeremy Renner,The Immigrant?,Angela Sarafyan,immigrant|immigration|magician|money|prostitution,R,Drama,,,,
John Carney,Markéta Irglová,Glen Hansard,Once?,Darren Healy,immigrant|independent film|song|street|vacuum cleaner,R,Drama,,,,
Clint Eastwood,Chris Bauer,Paul Walker,Flags of Our Fathers?,Tom McCarthy,imperial japan|japan|japanese army|japanese soldier|world war two,R,Drama,,,,
Scott Ziehl,Jason London,William Smith,Broken Vessels?,Brent David Fraser,independent film|katana sword|los angeles storm drain,R,Drama,,,,
Vic Sarin,Jesse Moss,Jimi Mistry,Partition?,John Light,india|love|muslim|pakistan|sikh,R,Drama,,,,
Mark Romanek,Gary Cole,Robin Williams,One Hour Photo?,Connie Nielsen,insanity|photo lab|photo shop|photography|voyeur,R,Drama,,,,
Juan José Campanella,Soledad Villamil,Ricardo Darín,The Secret in Their Eyes?,Guillermo Francella,investigation|justice|murder|suspect|tension,R,Drama,,,,
Jamie Thraves,Caroline Dhavernas,Paddy Considine,The Cry of the Owl?,Charlotte Sullivan,isolated house|promotion|river|small town|stalking,R,Drama,,,,
Olivier Assayas,Béatrice Dalle,Maggie Cheung,Clean?,Don McKellar,jail|junkie|money|motel|singer,R,Drama,,,,
Henry Bean,Theresa Russell,Ryan Gosling,The Believer?,Summer Phoenix,jew|jewish nazi|nazism|racism|skinhead,R,Drama,,,,
James Gray,Vinessa Shaw,Isabella Rossellini,Two Lovers?,Samantha Ivers,jewish|love|married man|neighbor|photograph,R,Drama,,,,
Danny Boyle,Megan Burns,Noah Huntley,28 Days Later...?,David Schneider,laboratory|london england|military|virus|zombie apocalypse,R,Drama,,,,
Alan Jacobs,Laz Alonso,Snoop Dogg,Down for Life?,Nicholas Gonzalez,latina|south central los angeles,R,Drama,,,,
Oliver Stone,Zach Grenier,Michael Wincott,Talk Radio?,Bill Johnson,listener|neo nazi|radio|radio station|radio talk show,R,Drama,,,,
Jesse Peretz,Eli Marienthal,Robert John Burke,"First Love, Last Rites?",Natasha Gregson Wagner,listening to music|misfit|panties|red panties|sex,R,Drama,,,,
Eric Styles,Rupert Graves,Samantha Morton,Dreaming of Joseph Lees?,Miriam Margolyes,love crime|love triangle|lust|sister sister relationship|unrequited love,R,Drama,,,,
Ira Sachs,Jenny O'Hara,Rip Torn,Forty Shades of Blue?,Darren E. Burrows,love|music producer|previous marriage|rock 'n' roll|russian,R,Drama,,,,
Mike Leigh,Ruth Sheen,Lesley Manville,All or Nothing?,Gary McDonald,love|neighbor|single parent|supermarket|working class,R,Drama,,,,
Stephen Daldry,David Kross,Kate Winslet,The Reader?,Susanne Lothar,love|reading|teaching oneself to read|trial|war crime,R,Drama,,,,
John Carney,Karen Pittman,James Corden,Begin Again?,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,R,Drama,,,,
Christopher Cain,Taylor Handley,Jon Gries,September Dawn?,Trent Ford,massacre|mormon|settler|utah|wagon train,R,Drama,,,,
Darren Aronofsky,Clint Mansell,Mark Margolis,Pi?,Stanley B. Herman,mathematician|nature|numbers|pattern|using a metal detector on a beach,R,Drama,,,,
Sidney Lumet,Faye Dunaway,Robert Duvall,Network?,William Holden,media|monologue|television|television network|television news,R,Drama,,,,
Ralph Fiennes,Ashraf Barhom,Gerard Butler,Coriolanus?,Lubna Azabal,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,R,Drama,,,,
Barbra Streisand,Blythe Danner,George Carlin,The Prince of Tides?,Melinda Dillon,new york|psychiatrist|shrimper|south carolina|twins,R,Drama,,,,
Eric Mendelsohn,Edie Falco,Embeth Davidtz,3 Backyards?,Kathryn Erbe,number in title,R,Drama,,,,
Tommy Oliver,Ruby Dee,Bokeem Woodbine,1982?,Quinton Aaron,number in title|semi autobiographical,R,Drama,,,,
Kar-Wai Wong,Tony Chiu Wai Leung,Li Gong,2046?,Maggie Cheung,number in title|train|woman slaps a man|woman slaps man|written by director,R,Drama,,,,
Eddie O'Flaherty,Eddie Jones,Don Wallace,Fighting Tommy Riley?,Christina Chambers,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,R,Drama,,,,
Kimberly Peirce,Judy Greer,Chlo? Grace Moretz,Carrie?,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,R,Drama,,,,
Juan Carlos Fresnadillo,Harold Perrineau,Jeremy Renner,28 Weeks Later?,Catherine McCormack,paris france|rage|sniper|u.s. army|zombie apocalypse,R,Drama,,,,
Sai Varadan,Hassan Johnson,J.D. Williams,An American in Hollywood?,Samantha Esteban,place name in title,R,Drama,,,,
Mel Gibson,Patrick McGoohan,Mhairi Calvey,Braveheart?,James Robinson,14th century|legend|revolt|scotland|tyranny,R,Drama,,,,
Shekhar Kapur,John Gielgud,Fanny Ardant,Elizabeth?,Eric Cantona,16th century|british royal family|catholic|queen|queen elizabeth i,R,Drama,,,,
Milos Forman,F. Murray Abraham,Jeffrey Jones,Amadeus?,Tom Hulce,1800s|classical composer|composer|first person narration|opera,R,Drama,,,,
Michael Cimino,Sam Waterston,Jeff Bridges,Heaven's Gate?,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff,R,Drama,,,,
Michael J. Bassett,Deborah Kara Unger,Radha Mitchell,Silent Hill: Revelation 3D?,Martin Donovan,18th birthday|alternate reality|introduction|nightmare|on the run,R,Drama,,,,
Tom Tykwer,David Calder,Michael Smiley,Perfume: The Story of a Murderer?,Simon Chandler,18th century|perfume|scent|sense of smell|smell,R,Drama,,,,
Sergio Leone,Burt Young,Robert De Niro,Once Upon a Time in America?,Treat Williams,1920s|ambiguity|childhood friend|new york|speakeasy,R,Drama,,,,
Sam Mendes,Jennifer Jason Leigh,Tom Hanks,Road to Perdition?,Liam Aiken,1930s|blood|gun|on the run|revenge,R,Drama,,,,
Frank Darabont,Jeffrey DeMunn,Tom Hanks,The Green Mile?,Michael Jeter,1930s|death row inmate|healing|prison guard|southern u.s.,R,Drama,,,,
Robert Altman,Jennifer Jason Leigh,Steve Buscemi,Kansas City?,Miranda Richardson,1930s|election|female frontal nudity|kansas city|politician,R,Drama,,,,
Abel Ferrara,Vincent Gallo,Isabella Rossellini,The Funeral?,Gretchen Mol,1930s|madness|murder|new york city|violence,R,Drama,,,,
Ed Harris,Bud Cort,John Heard,Pollock?,Amy Madigan,1940s|artist|drinking|life magazine|painter,R,Drama,,,,
Stephen Kay,Marg Helgenberger,Keanu Reeves,The Last Time I Committed Suicide?,Gretchen Mol,1940s|female bare foot|picket fence|tire|vomiting,R,Drama,,,,
Curtis Hanson,Matt McCoy,Kevin Spacey,L.A. Confidential?,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,R,Drama,,,,
Francis Ford Coppola,Al Pacino,Robert De Niro,The Godfather: Part II?,Robert Duvall,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,R,Drama,,,,
Anthony Minghella,Matt Damon,Philip Seymour Hoffman,The Talented Mr. Ripley?,Jack Davenport,1950s|italy|mistaken identity|nudity|sociopath,R,Drama,,,,
Darnell Martin,Veronika Dash,Cedric the Entertainer,Cadillac Records?,Tammy Blanchard,1950s|jazz|jazz music|sex|title directed by female,R,Drama,,,,
Mike Leigh,Sally Hawkins,Eddie Marsan,Vera Drake?,Imelda Staunton,1950s|miscarriage|neighbor|pregnancy|tailor,R,Drama,,,,
Todd Haynes,Heath Ledger,Christian Bale,I'm Not There.?,Tyrone Benskin,1960s|actor|horseback riding|reporter|riding the rails,R,Drama,,,,
Sam Taylor-Johnson,Ophelia Lovibond,Kristin Scott Thomas,Nowhere Boy?,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,R,Drama,,,,
James Mangold,Clea DuVall,Angelina Jolie Pitt,"Girl, Interrupted?",Vanessa Redgrave,1960s|father daughter incest|mental hospital|suicide|suicide attempt,R,Drama,,,,
Taylor Hackford,Jesse Borrego,Delroy Lindo,"Blood In, Blood Out?",Raymond Cruz,1970s|1980s|barrio|gang war|mexican,R,Drama,,,,
Kevin Macdonald,Simon McBurney,David Oyelowo,The Last King of Scotland?,Abby Mukiibi Nkaaga,1970s|assassination|doctor|scottish|ugandan,R,Drama,,,,
Ben Affleck,Scoot McNairy,Clea DuVall,Argo?,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979,R,Drama,,,,
Francis Ford Coppola,Joe Mantegna,Al Pacino,The Godfather: Part III?,Bridget Fonda,1970s|family relationships|mob hit|opera|repeating history,R,Drama,,,,
Guillaume Canet,Lili Taylor,Mila Kunis,Blood Ties?,Billy Crudup,1970s|flashback|love|money|murder,R,Drama,,,,
Oliver Stone,Tamara Tunie,Hal Holbrook,Wall Street?,James Karen,1980s|argument|critique of capitalism|f word|fired from the job,R,Drama,,,,
Andrew Niccol,Jeremy Crutchley,Nicolas Cage,Lord of War?,Jared Burke,1980s|arms dealer|immorality|ukrainian|warlord,R,Drama,,,,
Mary Harron,Justin Theroux,Christian Bale,American Psycho?,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,R,Drama,,,,
Michael Corrente,Tony Devon,Jerry Ferrara,Brooklyn Rules?,Alexa Havins,1980s|friend|friendship|loyalty|mafia,R,Drama,,,,
Albert Hughes,Larenz Tate,Jada Pinkett Smith,Menace II Society?,Khandi Alexander,1990s|escape|graduation|hustler|street,R,Drama,,,,
James Cox,M.C. Gainey,Jake Gyllenhaal,Highway?,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,R,Drama,,,,
Ryan Coogler,Melonie Diaz,Ahna O'Reilly,Fruitvale Station?,Ariana Neal,22 year old|b.a.r.t.|bay area|birthday|police,R,Drama,,,,
Brad Anderson,Eduardo Noriega,Thomas Kretschmann,Transsiberian?,Mac McDonald,35 mm digital camera|drugs|murder|train|travel,R,Drama,,,,
Lukas Moodysson,Artyom Bogucharskiy,Oksana Akinshina,Lilya 4-Ever?,Lyubov Agapova,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,R,Drama,,,,
John Hillcoat,Noah Taylor,Ray Winstone,The Proposition?,Danny Huston,aborigine|foreboding|gang|hideout|outlaw,R,Drama,,,,
Neema Barnette,LisaRaye McCoy,Monica Calhoun,Civil Brand?,Clifton Powell,abuse of power|friendship|prison|prison guard|title directed by female,R,Drama,,,,
Brian Gibson,Virginia Capers,Rae'Ven Kelly,What's Love Got to Do with It?,Dororthy Thorton,abusive husband|love|singer|tina turner|violence,R,Drama,,,,
Frank Perry,Xander Berkeley,Faye Dunaway,Mommie Dearest?,Diana Scarwid,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,R,Drama,,,,
Alan Parker,Kate Winslet,Kevin Spacey,The Life of David Gale?,Matt Craven,activist|death|death row|murder|texas,R,Drama,,,,
Martin Campbell,Ray Winstone,Bojana Novakovic,Edge of Darkness?,Denis O'Hare,activist|detective|father daughter relationship|investigation|vigilantism,R,Drama,,,,
Daniel Algrant,Richard Schiff,Al Pacino,People I Know?,Mark Webber,actor|client|new york|protection|scandal,R,Drama,,,,
Simon Curtis,Toby Jones,Eddie Redmayne,My Week with Marilyn?,Julia Ormond,actress|assistant director|blonde bombshell|movie star|wardrobe,R,Drama,,,,
Bob Rafelson,Michael Lerner,Anjelica Huston,The Postman Always Rings Twice?,John Colicos,adultery|drifter|lunch wagon|murder|neo noir,R,Drama,,,,
Martin Campbell,Teri Polo,Angelina Jolie Pitt,Beyond Borders?,Noah Emmerich,africa|american|border|doctor|well,R,Drama,,,,
Michael Mann,Jada Pinkett Smith,Will Smith,Ali?,Joe Morton,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,R,Drama,,,,
George Tillman Jr.,Charlize Theron,Robert De Niro,Men of Honor?,Michael Rapaport,african american|amputee|navy|racial discrimination|racism,R,Drama,,,,
Norman Jewison,Vincent Pastore,Denzel Washington,The Hurricane?,Deborah Kara Unger,african american|book|boxer|boxing|murder,R,Drama,,,,
Joel Schumacher,Matthew McConaughey,Kevin Spacey,A Time to Kill?,Oliver Platt,african american|court|law|mississippi|trial,R,Drama,,,,
Bille August,Patrick Lyster,Terry Pheto,The Color of Freedom?,Tyrone Keogh,african national congress|father daughter relationship|film starts with text|nelson mandela|violence,R,Drama,,,,
Richard Eyre,Andrew Simpson,Phil Davis,Notes on a Scandal?,Shaun Parkes,age difference|school|student|teacher|writing,R,Drama,,,,
Jon Amiel,Holly Hunter,William McNamara,Copycat?,Harry Connick Jr.,agoraphobia|copycat murder|detective|psychologist|serial killer,R,Drama,,,,
John Sayles,Casey Siemaszko,Mary Elizabeth Mastrantonio,Limbo?,Vanessa Martinez,alaska|island|motorboat|singer|wilderness,R,Drama,,,,
John Simpson,Lee Evans,Colin Salmon,Freeze Frame?,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,R,Drama,,,,
Richard Eyre,Jim Broadbent,Kate Winslet,Iris?,Kris Marshall,alzheimer's disease|book|love|novelist|writer,R,Drama,,,,
Brian De Palma,Gregg Henry,Peter Coyote,Femme Fatale?,Rie Rasmussen,ambassador|cannes|identity|suicide|thief,R,Drama,,,,
Scott Cooper,Sam Shepard,Christian Bale,Out of the Furnace?,Dendrie Taylor,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,R,Drama,,,,
Anton Corbijn,Thekla Reuten,Violante Placido,The American?,Filippo Timi,ambush|assassin|priest|prostitute|sweden,R,Drama,,,,
Peter Weir,Viggo Mortensen,Harrison Ford,Witness?,Lukas Haas,amish|love|murder|police|train,R,Drama,,,,
Danny Boyle,Spencer Wilding,Rosario Dawson,Trance?,Tuppence Middleton,amnesia|criminal|heist|hypnotherapy|lost painting,R,Drama,,,,
Scott Walker,Radha Mitchell,Nicolas Cage,The Frozen Ground?,Jodi Lyn O'Keefe,anchorage alaska|based on true story|pole dancer|serial killer|strip club,R,Drama,,,,
Neil Jordan,Miranda Richardson,Jim Broadbent,The Crying Game?,Stephen Rea,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,R,Drama,,,,
Julian Schnabel,Michael Wincott,Gary Oldman,Basquiat?,Courtney Love,andy warhol|art|artist|friendship|street artist,R,Drama,,,,
George Hickenlooper,Jimmy Fallon,Hayden Christensen,Factory Girl?,Beth Grant,andy warhol|female nudity|public nudity|singer|socialite,R,Drama,,,,
Michael Moore,Stevie Wonder,Osama bin Laden,Fahrenheit 9/11?,Ricky Martin,anti war|interview|iraq|paranoia|war on terrorism,R,Drama,,,,
Fran?ois Truffaut,Jean-Paul Belmondo,Catherine Deneuve,Mississippi Mermaid?,Michel Bouquet,antibes|hotel|island|reunion|reunion island,R,Drama,,,,
Giuseppe Tornatore,Sean Buchanan,Jim Sturgess,The Best Offer?,Liya Kebede,antique|art|heiress|older man younger woman relationship|plot twist,R,Drama,,,,
Jér?me Salle,Tanya van Graan,Orlando Bloom,Zulu?,Conrad Kemp,apartheid|corpse|male nudity|murder|police officer,R,Drama,,,,
John Hillcoat,Charlize Theron,Viggo Mortensen,The Road?,Robert Duvall,apocalypse|boy|food|pistol|survival,R,Drama,,,,
Danny Boyle,Michael Fassbender,Kate Winslet,Steve Jobs?,Michael Stuhlbarg,apple computer|box office flop|computer|dialogue driven|father daughter relationship,R,Drama,,,,
Oliver Stone,Shea Whigham,Demián Bichir,Savages?,Gary Stretch,arms tied overhead|damsel in distress|dea|marijuana|southern california,R,Drama,,,,
James Gray,Oleg Taktarov,Robert Duvall,We Own the Night?,Antoni Corone,arrest|drugs|loyalty|raid|violence,R,Drama,,,,
Liliana Cavani,Dougray Scott,Ray Winstone,Ripley's Game?,Chiara Caselli,art forgery|concert|dying|picture framer|villa,R,Drama,,,,
Morten Tyldum,Synn?ve Macody Lund,Aksel Hennie,Headhunters?,Julie R. ?lgaard,art thief|male frontal nudity|male nudity|male star appears nude|painting,R,Drama,,,,
Julie Taymor,Roger Rees,Salma Hayek,Frida?,Valeria Golino,art|bisexual|marriage|pain|revolutionary,R,Drama,,,,
Justin Lin,Jason Tobin,Parry Shen,Better Luck Tomorrow?,Collin Kahey,asian american|high school|overachiever|pubic hair|vomiting,R,Drama,,,,
Brian De Palma,F. Murray Abraham,Al Pacino,Scarface?,Mary Elizabeth Mastrantonio,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,R,Drama,,,,
Philip Kaufman,Stephen Marcus,Kate Winslet,Quills?,Amelia Warner,asylum|lust|male pubic hair|penis|pubic hair,R,Drama,,,,
F. Gary Gray,Leslie Bibb,Gerard Butler,Law Abiding Citizen?,Michael Kelly,attorney|deal|district attorney|investigation|justice,R,Drama,,,,
Tony Gilroy,Denis O'Hare,Tom Wilkinson,Michael Clayton?,Sydney Pollack,attorney|debt|fixer|law|law firm,R,Drama,,,,
Peter Webber,Stephen Walters,Li Gong,Hannibal Rising?,Richard Brake,aunt|cannibalism|faked death|medical student|revenge,R,Drama,,,,
Jean-Paul Rappeneau,Fran?ois Cluzet,Olivier Martinez,The Horseman on the Roof?,Isabelle Carré,austrian|breasts|cholera|police|provence,R,Drama,,,,
Gavin Hood,Nambitha Mpumlwana,Terry Pheto,Tsotsi?,Rapulana Seiphemo,baby|bathing a baby|criminal|slum|vomiting,R,Drama,,,,
Craig Brewer,Paula Jai Parker,Isaac Hayes,Hustle & Flow?,Elise Neal,baby|friend|hip hop|pimp|stripper,R,Drama,,,,
Sam Raimi,Bridget Fonda,Gary Cole,A Simple Plan?,Chelcie Ross,bag of money|found money|minnesota|screenplay adapted by author|snow,R,Drama,,,,
Matt Dillon,Shawn Andrews,Kirk Fox,City of Ghosts?,Rob Campbell,bag over head|buddhist temple|loss of friend|male bonding|nightclub,R,Drama,,,,
Mike van Diem,Fedja van Huêt,Jan Decleir,Character?,Hans Kesting,bailiff|lawyer|office|police|school,R,Drama,,,,
Clint Eastwood,Spencer Treat Clark,John Doman,Mystic River?,Tom Guiry,ballistics|detective|friend|gun|sexual abuse,R,Drama,,,,
Floria Sigismondi,Scout Taylor-Compton,Kristen Stewart,The Runaways?,Johnny Lewis,band|box office flop|critically bashed|historically inaccurate|revisionist history,R,Drama,,,,
Anton Corbijn,Samantha Morton,Sam Riley,Control?,Alexandra Maria Lara,band|employment agency|singer|stage fright|suicide,R,Drama,,,,
Clint Eastwood,Steve Schirripa,Johnny Cannizzaro,Jersey Boys?,Scott Vance,band|music group|musical quartet|singer|song,R,Drama,,,,
Ben Affleck,Jon Hamm,Jeremy Renner,The Town?,Owen Burke,bank manager|bank robbery|criminal gang|heist|prison,R,Drama,,,,
Richard Kwietniowski,Minnie Driver,Philip Seymour Hoffman,Owning Mahowny?,Maury Chaykin,bank|bank fraud|bank manager|gambling|toronto,R,Drama,,,,
Roger Avary,Salvator Xuereb,Eric Stoltz,Killing Zoe?,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs,R,Drama,,,,
Derek Cianfrance,Ben Mendelsohn,Ryan Gosling,The Place Beyond the Pines?,Angelo Anthony Pizza,bank|carnival|motorcycle|police|rookie cop,R,Drama,,,,
Spike Lee,James Ransone,Denzel Washington,Inside Man?,Peter Gerety,bank|detective|negotiation|police|robber,R,Drama,,,,
Kevin Spacey,Joe Mantegna,Viggo Mortensen,Albino Alligator?,Faye Dunaway,bar|box office flop|hostage|new orleans louisiana|police,R,Drama,,,,
Martin Scorsese,David Carradine,Robert De Niro,Mean Streets?,David Proval,bar|catholic guilt|epilepsy|italian american|money,R,Drama,,,,
David Cronenberg,Kyle Schmid,Viggo Mortensen,A History of Violence?,William Hurt,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,R,Drama,,,,
Paul Schrader,Jane Adams,Dana Delany,Light Sleeper?,David Clennon,bare breasts|drugs|existentialism|new york city|redemption,R,Drama,,,,
Sam Peckinpah,Bob Dylan,James Coburn,Pat Garrett & Billy the Kid?,Jason Robards,bare breasts|flogging|human branding|man slaps a woman|manhunt,R,Drama,,,,
David Fincher,Sela Ward,Patrick Fugit,Gone Girl?,Emily Ratajkowski,based on novel|disappearance|missing person|missing wife|murder suspect,R,Drama,,,,
David O. Russell,Christian Bale,Jennifer Lawrence,American Hustle?,Bradley Cooper,based on true story|con artist|drunk wife|fbi investigation|scam,R,Drama,,,,
Jon Stewart,Claire Foy,Numan Acar,Rosewater?,Haluk Bilginer,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,R,Drama,,,,
Juraj Jakubisko,Hans Matheson,Anna Friel,Bathory: Countess of Blood?,Franco Nero,bathory|countess|female protagonist|legend|virgin blood,R,Drama,,,,
Paul Andrew Williams,Johnny Harris,Lorraine Stanley,London to Brighton?,Georgia Groome,bathroom|chase|girl|pimp|toilet,R,Drama,,,,
Michael Caton-Jones,James Franco,Robert De Niro,City by the Sea?,John Doman,beach|grandson|murder|new york city|police,R,Drama,,,,
Alejandro G. I?árritu,Tom Hardy,Leonardo DiCaprio,The Revenant?,Lukas Haas,bear attack|cauterizing a wound|native american|revenge|survival,R,Drama,,,,
Tom Tykwer,Ludger Pistor,Moritz Bleibtreu,Run Lola Run?,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,R,Drama,,,,
Walter Salles,Viggo Mortensen,Kristen Stewart,On the Road?,Kirsten Dunst,benzedrine|cactus|drugs|poem|year 1949,R,Drama,,,,
James Gray,Ellen Burstyn,Charlize Theron,The Yards?,Faye Dunaway,best friend|corruption|fall to death|female nudity|friend,R,Drama,,,,
Chris Shadley,William Lee Scott,Daniel Baldwin,Nine Dead?,Marc Macaulay,betrayal|car|connection|death|gun,R,Drama,,,,
Lee Tamahori,Dominic Cooper,Mem Ferda,The Devil's Double?,Ludivine Sagnier,betrayal|debauchery|lust|palace|saddam hussein,R,Drama,,,,
David M. Matthews,Lamman Rucker,Essence Atkins,N-Secure?,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,R,Drama,,,,
Quentin Tarantino,Eric Stoltz,Bruce Willis,Pulp Fiction?,Phil LaMarr,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,R,Drama,,,,
Brian De Palma,Mia Kirshner,Scarlett Johansson,The Black Dahlia?,Mike Starr,black dahlia|boxer|corpse|death|partner,R,Drama,,,,
